Subject,Age,Gender,Blind,Block,Trial,Sentence,Numeral,Colored_dots,Couleur_cible,Couleur_filler,Nombre_caseN,Couleurcible_caseN,Nombre_caseS,Couleurcible_caseS,Nombre_caseE,Couleurcible_caseE,Nombre_caseO,Couleurcible_caseO,Distance,Expected_value,Condition,Response,Response_time,Group
1,57,F,N,1,1,exactly,5,5,red,green,4,0,3,0,2,1,3,1,0,TRUE,Equal,99.73890339,8392,no
1,57,F,N,1,2,more-than,6,9,green,yellow,5,1,2,0,4,1,6,0,3,TRUE,Superior,99.73890339,9173,no
1,57,F,N,1,3,less-than,4,3,green,black,2,1,1,0,1,0,6,0,-1,TRUE,Inferior,100,7247,no
1,57,F,N,1,4,exactly,5,5,green,black,5,1,3,0,1,0,5,0,0,TRUE,Equal,100,5796,yes
1,57,F,N,1,5,exactly,4,6,blue,green,3,1,2,0,2,1,1,1,2,?,Superior,0,6880,no
1,57,F,N,1,6,no-less-than,4,6,blue,red,3,1,2,1,1,0,1,1,2,TRUE,Superior,0,18073,no
1,57,F,N,1,7,no-more-than,5,6,blue,green,3,0,4,1,5,0,2,1,1,FALSE,Superior,0,11942,no
1,57,F,N,1,8,exactly,5,7,green,blue,5,0,4,0,1,1,6,1,2,?,Superior,0,7932,no
1,57,F,N,1,9,no-less-than,6,8,green,red,4,0,3,1,3,1,2,1,2,TRUE,Superior,0,44711,no
1,57,F,N,1,10,no-less-than,4,5,red,black,1,1,2,0,3,1,1,1,1,TRUE,Superior,0,8310,no
1,57,F,N,1,11,no-more-than,5,4,green,black,2,0,4,0,6,0,2,1,-1,TRUE,Inferior,100,9605,no
1,57,F,N,1,12,exactly,4,4,green,red,6,0,6,0,1,0,4,1,0,TRUE,Equal,100,3918,yes
1,57,F,N,1,13,exactly,5,6,red,yellow,6,0,1,1,1,1,4,1,1,?,Superior,0,3904,no
1,57,F,N,1,14,exactly,4,6,blue,yellow,5,0,1,0,2,1,4,1,2,?,Superior,4.177545692,3445,yes
1,57,F,N,1,15,more-than,5,3,green,red,1,0,4,1,2,0,4,0,-2,FALSE,Inferior,0,5863,no
1,57,F,N,1,16,no-less-than,6,4,green,black,1,0,6,1,2,0,2,0,-2,FALSE,Inferior,100,29282,no
1,57,F,N,1,17,no-less-than,5,6,green,red,3,0,2,1,1,1,3,1,1,TRUE,Superior,0,13146,no
1,57,F,N,1,18,more-than,4,6,red,black,2,0,3,1,2,0,3,1,2,TRUE,Superior,100,3576,no
1,57,F,N,1,19,exactly,5,3,red,yellow,3,1,4,0,4,0,4,0,-2,FALSE,Inferior,0,3482,no
1,57,F,N,1,20,exactly,6,9,red,black,3,1,5,0,4,0,6,1,3,?,Superior,0,4016,yes
1,57,F,N,1,21,exactly,5,6,green,black,1,1,5,1,1,0,1,0,1,?,Superior,0,3564,yes
