Sujet Age Gender Blind Block Essai Structure Numeral Group Colored_dots Couleur_cible Couleur_filler Nombre_caseN Couleurcible_caseN Nombre_caseS Couleurcible_caseS Nombre_caseE Couleurcible_caseE Nombre_caseO Couleurcible_caseO Distance Expected_value Condition Response Response_time
2 41 F Y 1 1 exactly 5 A 5 green black 5 1 1 0 6 0 2 0 0 TRUE Equal 100 16547
2 41 F Y 1 2 no-more-than 6 NA 7 green yellow 1 1 3 1 6 0 3 1 1 FALSE Superior 1.04438642298 7458
2 41 F Y 1 3 more-than 6 NA 7 red yellow 2 0 1 1 2 1 4 1 1 TRUE Superior 0 4826
2 41 F Y 1 4 exactly 5 A 7 green blue 5 0 4 0 5 1 2 1 2 ? Superior 0 6722
2 41 F Y 1 5 less-than 5 NA 4 blue green 4 0 5 0 1 0 6 1 -1 TRUE Inferior 0 6108
2 41 F Y 1 6 no-less-than 6 NA 4 green yellow 2 0 1 0 3 1 4 0 -2 FALSE Inferior 98.6945169713 11438
2 41 F Y 1 7 more-than 5 NA 2 blue yellow 2 0 4 0 4 0 2 1 -3 FALSE Inferior 0 6289
2 41 F Y 1 8 no-less-than 4 NA 2 red green 6 1 6 0 1 0 1 0 -2 FALSE Inferior 100 3115
2 41 F Y 1 9 less-than 5 NA 3 blue green 6 0 4 0 2 1 5 0 -2 TRUE Inferior 0.261096605744 4067
2 41 F Y 1 10 less-than 5 NA 5 red blue 2 1 1 1 2 1 5 0 0 FALSE Equal 0.522193211488 7242
2 41 F Y 1 11 no-more-than 6 NA 8 red green 3 1 2 0 3 0 5 1 2 FALSE Superior 5.48302872063 13882
2 41 F Y 1 12 more-than 6 NA 4 green red 3 0 6 1 6 0 5 0 -2 FALSE Inferior 3.13315926893 8483
2 41 F Y 1 13 no-more-than 4 NA 1 green red 2 0 4 1 3 0 2 0 -3 TRUE Inferior 100 4061
2 41 F Y 1 14 more-than 5 NA 5 blue red 1 1 2 1 2 1 4 0 0 FALSE Equal 0.261096605744 4769
2 41 F Y 1 15 no-more-than 6 NA 3 green red 4 1 1 0 1 0 6 0 -3 TRUE Inferior 0 12525
2 41 F Y 1 16 exactly 4 A 6 red yellow 3 0 2 1 4 1 6 0 2 ? Superior 1.30548302872 6802
2 41 F Y 1 17 less-than 4 NA 7 red black 3 1 1 1 3 1 6 0 3 FALSE Superior 0 4841
2 41 F Y 1 18 no-less-than 4 NA 5 red green 4 0 1 1 1 1 3 1 1 TRUE Superior 1.04438642298 8084
2 41 F Y 1 19 exactly 6 NA 8 green black 3 0 2 1 4 1 2 1 2 ? Superior 0 9275
2 41 F Y 1 20 no-more-than 6 NA 4 blue black 2 1 1 0 5 0 4 0 -2 TRUE Inferior 12.5326370757 2132
2 41 F Y 1 21 more-than 5 NA 8 red blue 1 0 2 1 6 1 5 0 3 TRUE Superior 92.6892950392 3498
2 41 F Y 1 22 less-than 6 NA 6 blue black 4 1 2 1 3 0 2 0 0 FALSE Equal 0 13532
2 41 F Y 1 23 exactly 5 NA 6 red blue 4 1 1 1 1 1 1 0 1 ? Superior 0.783289817232 15619
2 41 F Y 1 24 more-than 4 NA 4 blue green 1 0 3 1 1 1 1 0 0 FALSE Equal 1.04438642298 5283
2 41 F Y 1 25 no-more-than 4 NA 4 red black 1 0 2 1 2 0 2 1 0 TRUE Equal 51.1749347258 5657
2 41 F Y 1 26 no-more-than 6 NA 6 blue yellow 3 1 2 0 4 0 3 1 0 TRUE Equal 0 4701
2 41 F Y 1 27 exactly 4 NA 3 blue red 2 0 5 1 3 0 2 0 -1 FALSE Inferior 0.261096605744 4188
2 41 F Y 1 28 no-less-than 5 NA 3 blue yellow 6 0 1 0 3 1 3 0 -2 FALSE Inferior 0.261096605744 4770
2 41 F Y 1 29 no-less-than 5 NA 5 blue yellow 2 1 4 0 5 0 3 1 0 TRUE Equal 43.0809399478 7715
2 41 F Y 1 30 less-than 4 NA 1 red green 3 0 6 0 2 1 2 0 -3 TRUE Inferior 100 7249
2 41 F Y 1 31 more-than 4 NA 7 red black 4 0 2 1 3 1 2 1 3 TRUE Superior 100 3821
2 41 F Y 1 32 more-than 6 NA 8 blue red 4 0 3 1 2 1 3 1 2 TRUE Superior 100 4354
2 41 F Y 1 33 less-than 5 NA 7 blue black 3 1 4 1 1 0 2 0 2 FALSE Superior 4.96083550914 6315
