Sujet Age Gender Blind Block Essai Structure Numeral Group Colored_dots Couleur_cible Couleur_filler Nombre_caseN Couleurcible_caseN Nombre_caseS Couleurcible_caseS Nombre_caseE Couleurcible_caseE Nombre_caseO Couleurcible_caseO Distance Expected_value Condition Response Response_time
13 36 F N 1 1 less-than 6 NA 6 blue black 6 0 1 0 4 1 2 1 0 FALSE Equal 50.3916449086 16752
13 36 F N 1 2 no-more-than 4 NA 6 red green 3 1 6 0 3 1 5 0 2 FALSE Superior 15.1436031332 16485
13 36 F N 1 3 exactly 5 NA 6 red blue 2 1 2 1 3 0 2 1 1 ? Superior 12.7937336815 1666
13 36 F N 1 4 no-less-than 4 NA 1 green red 6 0 6 0 2 0 5 1 -3 FALSE Inferior 0.261096605744 2355
13 36 F N 1 5 no-more-than 5 NA 8 blue green 3 1 4 1 1 1 4 0 3 FALSE Superior 55.8746736292 9348
13 36 F N 1 6 no-more-than 4 NA 7 blue green 3 1 6 0 3 1 1 1 3 FALSE Superior 0 2146
13 36 F N 1 7 exactly 6 NA 9 green yellow 2 1 2 1 5 1 6 0 3 ? Superior 56.135770235 4402
13 36 F N 1 8 exactly 6 A 9 blue red 5 0 6 1 3 1 2 0 3 ? Superior 0.261096605744 2330
13 36 F N 1 9 exactly 6 NA 6 blue yellow 5 1 1 0 3 0 1 1 0 TRUE Equal 65.0130548303 4750
13 36 F N 1 10 no-less-than 6 NA 8 red yellow 3 1 2 0 2 1 3 1 2 TRUE Superior 99.7389033943 2482
13 36 F N 1 11 exactly 6 NA 5 green black 2 1 5 0 1 0 5 0 -1 FALSE Inferior 44.3864229765 3521
13 36 F N 1 12 no-less-than 5 NA 2 blue red 4 1 3 0 4 0 5 0 -3 FALSE Inferior 0 1913
13 36 F N 1 13 less-than 6 NA 9 green yellow 3 1 4 0 3 1 3 1 3 FALSE Superior 53.7859007833 4862
13 36 F N 1 14 less-than 4 NA 2 red black 3 0 2 0 2 1 3 0 -2 TRUE Inferior 0 4272
13 36 F N 1 15 no-less-than 4 NA 7 green yellow 3 1 3 1 1 0 1 1 3 TRUE Superior 66.0574412533 8354
13 36 F N 1 16 no-more-than 6 NA 8 blue yellow 4 1 3 1 1 1 4 0 2 FALSE Superior 0 1682
13 36 F N 1 17 no-more-than 4 NA 1 blue red 3 0 4 0 5 1 4 0 -3 TRUE Inferior 0 7455
13 36 F N 1 18 no-more-than 5 NA 2 red yellow 3 0 6 1 3 0 3 0 -3 TRUE Inferior 98.955613577 7745
13 36 F N 1 19 more-than 4 NA 3 blue black 4 0 6 0 3 0 3 1 -1 FALSE Inferior 0 9283
13 36 F N 1 20 no-less-than 6 NA 7 blue yellow 3 1 4 0 1 1 3 1 1 TRUE Superior 1.56657963446 10191
13 36 F N 1 21 no-less-than 4 NA 2 red blue 4 0 4 1 6 0 3 0 -2 FALSE Inferior 100 10583
13 36 F N 1 22 less-than 6 NA 4 green blue 1 0 1 1 1 0 6 0 -2 TRUE Inferior 0.783289817232 8649
13 36 F N 1 23 no-less-than 4 NA 6 green blue 2 1 2 1 2 1 4 0 2 TRUE Superior 100 9008
13 36 F N 1 24 exactly 6 NA 7 red black 1 1 2 1 2 0 4 1 1 ? Superior 0.522193211488 7079
13 36 F N 1 25 more-than 4 NA 4 green yellow 2 1 1 1 1 1 3 0 0 FALSE Equal 0.261096605744 13271
13 36 F N 1 26 exactly 5 A 7 green yellow 1 0 5 1 4 0 2 1 2 ? Superior 0.783289817232 7853
13 36 F N 1 27 exactly 6 NA 4 red blue 2 0 4 0 2 0 2 1 -2 FALSE Inferior 0 7897
13 36 F N 1 28 exactly 6 NA 6 green red 2 1 3 0 2 1 2 1 0 TRUE Equal 98.955613577 6380
13 36 F N 1 29 exactly 6 NA 3 red green 2 0 4 0 3 0 2 1 -3 FALSE Inferior 0.261096605744 9043
13 36 F N 1 30 no-less-than 6 NA 4 blue yellow 2 0 3 0 6 1 4 0 -2 FALSE Inferior 99.4778067885 8728
13 36 F N 1 31 no-less-than 5 NA 8 blue red 5 0 5 0 2 1 6 1 3 TRUE Superior 0 5380
13 36 F N 1 32 exactly 4 NA 6 blue green 2 1 2 1 2 1 4 0 2 ? Superior 0 6246
13 36 F N 1 33 less-than 5 NA 6 red blue 5 0 4 0 2 1 4 1 1 FALSE Superior 0.522193211488 12800
13 36 F N 1 34 no-more-than 4 NA 2 red green 4 0 5 0 6 0 6 1 -2 TRUE Inferior 0.522193211488 7395
13 36 F N 1 35 less-than 4 NA 3 green black 6 1 5 0 1 0 3 0 -1 TRUE Inferior 0.783289817232 8074
13 36 F N 1 36 exactly 4 A 7 blue green 5 0 3 1 4 1 5 0 3 ? Superior 0 8126
13 36 F N 1 37 exactly 4 NA 4 red green 2 0 3 1 1 0 1 1 0 TRUE Equal 99.4778067885 5112
13 36 F N 1 38 no-more-than 6 NA 5 red blue 6 0 4 1 4 0 3 0 -1 TRUE Inferior 0.522193211488 5940
13 36 F N 1 39 no-less-than 5 NA 7 green blue 1 0 4 1 3 0 3 1 2 TRUE Superior 1.82767624021 8368
13 36 F N 1 40 more-than 6 NA 4 green red 1 0 2 0 5 0 5 1 -2 FALSE Inferior 0.522193211488 9851
13 36 F N 1 41 less-than 5 NA 8 blue red 4 0 3 1 4 1 1 1 3 FALSE Superior 0 7556
13 36 F N 1 42 no-less-than 5 NA 6 green red 3 0 2 1 2 1 2 1 1 TRUE Superior 0 9182
13 36 F N 1 43 exactly 4 NA 4 blue black 1 0 1 1 3 1 5 0 0 TRUE Equal 100 5384
13 36 F N 1 44 less-than 6 NA 3 green black 1 0 4 0 2 1 1 0 -3 TRUE Inferior 0.522193211488 9131
13 36 F N 1 45 no-less-than 6 NA 3 green yellow 3 0 4 0 3 0 4 1 -3 FALSE Inferior 99.4778067885 7419
13 36 F N 1 46 exactly 5 NA 5 green yellow 1 0 1 1 4 1 2 0 0 TRUE Equal 99.4778067885 5796
13 36 F N 1 47 exactly 4 NA 5 blue yellow 2 1 1 1 2 0 2 1 1 ? Superior 0 5026
13 36 F N 1 48 less-than 6 NA 8 green black 4 1 1 0 2 1 2 1 2 FALSE Superior 0 9938
13 36 F N 1 49 more-than 5 NA 6 red black 6 0 1 1 1 1 4 1 1 TRUE Superior 99.7389033943 8771
13 36 F N 1 50 no-more-than 4 NA 3 blue green 3 1 6 0 3 0 4 0 -1 TRUE Inferior 0.783289817232 7677
13 36 F N 1 51 more-than 4 NA 2 green yellow 1 0 5 0 2 0 4 1 -2 FALSE Inferior 0 8489
13 36 F N 1 52 exactly 5 NA 3 green blue 1 0 2 0 5 0 6 1 -2 FALSE Inferior 0.261096605744 6676
13 36 F N 1 53 exactly 4 A 4 green black 2 0 3 0 3 0 4 1 0 TRUE Equal 99.4778067885 4635
13 36 F N 1 54 less-than 4 NA 5 blue yellow 3 1 5 0 5 0 2 1 1 FALSE Superior 0.783289817232 8042
13 36 F N 1 55 more-than 4 NA 5 green red 1 1 4 0 2 1 2 1 1 TRUE Superior 100 5210
13 36 F N 1 56 less-than 4 NA 1 green blue 5 0 6 0 2 0 5 1 -3 TRUE Inferior 0.522193211488 6012
13 36 F N 1 57 no-more-than 4 NA 5 green yellow 4 0 3 1 2 1 5 0 1 FALSE Superior 99.2167101828 6213
13 36 F N 1 58 no-more-than 6 NA 3 green blue 2 0 2 0 3 0 1 1 -3 TRUE Inferior 0.522193211488 15015
13 36 F N 1 59 more-than 4 NA 1 blue yellow 4 0 1 0 3 1 4 0 -3 FALSE Inferior 0 5661
