Sujet Age Gender Blind Block Essai Structure Nombre_X Identifiable Colored_dots Couleur_cible Couleur_filler Nombre_caseN Couleurcible_caseN Nombre_caseS Couleurcible_caseS Nombre_caseE Couleurcible_caseE Nombre_caseO Couleurcible_caseO Distance Expected_value Condition Response Response_time
Ka 25 F N 1 1 more-than 8 NA 9 blue yellow 3 0 3 1 3 1 3 1 1 TRUE Superior 97.3890339426 12508
Ka 25 F N 1 2 less-than 7 NA 9 green red 1 0 3 1 3 1 3 1 2 FALSE Superior 0 12857
Ka 25 F N 1 3 less-than 6 NA 4 red blue 2 0 5 0 6 0 4 1 -2 TRUE Inferior 100 9096
Ka 25 F N 1 4 no-more-than 6 NA 4 green yellow 2 0 4 1 6 0 6 0 -2 TRUE Inferior 0 9396
Ka 25 F N 1 5 more-than 7 NA 7 green yellow 4 0 6 1 1 1 6 0 0 FALSE Equal 0 6219
Ka 25 F N 1 6 exactly 6 NA 3 red yellow 1 0 1 0 3 1 6 0 -3 FALSE Inferior 0 2675
Ka 25 F N 1 7 no-more-than 8 NA 7 red green 5 0 2 0 3 1 4 1 -1 TRUE Inferior 100 16270
Ka 25 F N 1 8 exactly 8 NA 11 red yellow 1 1 4 0 6 1 4 1 3 ? Superior 0 5552
Ka 25 F N 1 9 less-than 6 NA 8 blue red 3 0 6 1 2 1 4 0 2 FALSE Superior 0 4965
Ka 25 F N 1 10 more-than 6 NA 9 green red 3 1 3 1 5 0 3 1 3 TRUE Superior 100 6585
Ka 25 F N 1 11 no-less-than 7 NA 7 green yellow 5 1 1 1 1 1 3 0 0 TRUE Equal 95.0391644909 24311
Ka 25 F N 1 12 exactly 8 NA 10 blue red 4 1 6 1 3 0 4 0 2 ? Superior 0 5870
Ka 25 F N 1 13 no-more-than 7 NA 7 green blue 6 1 1 1 1 0 6 0 0 TRUE Equal 89.817232376 9847
Ka 25 F N 1 14 exactly 7 NA 7 green blue 3 1 2 1 5 0 2 1 0 TRUE Equal 100 4463
Ka 25 F N 1 15 exactly 6 NA 8 red black 4 1 2 1 6 0 2 1 2 ? Superior 0 3629
Ka 25 F N 1 16 exactly 8 NA 8 blue red 4 1 4 1 3 0 2 0 0 TRUE Equal 100 2544
Ka 25 F N 1 17 no-more-than 8 NA 6 blue yellow 3 0 2 0 1 1 5 1 -2 TRUE Inferior 100 11870
Ka 25 F N 1 18 no-more-than 6 NA 6 red green 1 1 6 0 1 1 4 1 0 TRUE Equal 94.2558746736 6335
Ka 25 F N 1 19 exactly 8 NA 8 green black 5 0 4 1 6 0 4 1 0 TRUE Equal 100 3897
Ka 25 F N 1 20 exactly 6 NA 5 green red 3 0 5 1 6 0 3 0 -1 FALSE Inferior 0 3143
Ka 25 F N 1 21 less-than 6 NA 5 blue red 6 0 2 0 5 1 3 0 -1 TRUE Inferior 100 4851
Ka 25 F N 1 22 no-less-than 7 NA 8 red yellow 6 0 4 1 4 1 2 0 1 TRUE Superior 83.5509138381 10568
Ka 25 F N 1 23 no-less-than 6 NA 3 green yellow 1 0 3 1 2 0 1 0 -3 FALSE Inferior 0 7040
Ka 25 F N 1 24 exactly 6 NA 9 green red 5 0 6 1 3 1 5 0 3 ? Superior 0 3596
Ka 25 F N 1 25 less-than 6 NA 6 green blue 5 1 3 0 5 0 1 1 0 FALSE Equal 0 3497
Ka 25 F N 1 26 no-more-than 6 NA 7 green yellow 2 0 2 1 4 1 1 1 1 FALSE Superior 0 8042
Ka 25 F N 1 27 exactly 7 NA 8 red blue 6 1 3 0 2 1 5 0 1 ? Superior 0 4648
Ka 25 F N 1 28 more-than 7 NA 8 green black 3 1 2 0 3 1 2 1 1 TRUE Superior 100 4651
Ka 25 F N 1 29 exactly 6 NA 6 red green 4 1 1 1 1 1 5 0 0 TRUE Equal 100 2426
Ka 25 F N 1 30 exactly 6 NA 7 red yellow 3 1 3 0 1 1 3 1 1 ? Superior 0 2692
Ka 25 F N 1 31 less-than 6 NA 9 green yellow 6 0 4 1 5 1 4 0 3 FALSE Superior 0 5286
Ka 25 F N 1 32 no-less-than 6 NA 9 red yellow 3 1 4 0 6 1 6 0 3 TRUE Superior 88.5117493473 22937
Ka 25 F N 1 33 exactly 8 NA 8 green red 4 1 2 1 6 0 2 1 0 TRUE Equal 100 5751
Ka 25 F N 1 34 exactly 7 NA 4 green yellow 4 1 6 0 1 0 6 0 -3 FALSE Inferior 0 2122
Ka 25 F N 1 35 less-than 7 NA 8 red yellow 4 1 2 0 2 1 2 1 1 FALSE Superior 0 6303
Ka 25 F N 1 36 more-than 8 NA 7 red yellow 4 0 6 1 1 1 3 0 -1 FALSE Inferior 0 2960
Ka 25 F N 1 37 exactly 7 NA 9 green red 3 0 3 1 6 1 4 0 2 ? Superior 0 2891
Ka 25 F N 1 38 no-less-than 6 NA 8 green red 3 1 4 0 4 1 1 1 2 TRUE Superior 100 8211
Ka 25 F N 1 39 less-than 7 NA 5 red yellow 4 0 6 0 5 1 4 0 -2 TRUE Inferior 100 11787
Ka 25 F N 1 40 exactly 6 NA 4 green blue 3 0 4 0 4 1 4 0 -2 FALSE Inferior 0 6604
Ka 25 F N 1 41 no-more-than 7 NA 6 blue black 5 0 2 1 2 1 2 1 -1 TRUE Inferior 100 5034
Ka 25 F N 1 42 exactly 7 NA 10 blue black 4 1 6 0 3 1 3 1 3 ? Superior 0 5250
Ka 25 F N 1 43 exactly 7 NA 5 red black 2 0 5 1 3 0 1 0 -2 FALSE Inferior 0 2272
Ka 25 F N 1 44 no-more-than 8 NA 10 blue red 2 1 4 1 5 0 4 1 2 FALSE Superior 0 6354
Ka 25 F N 1 45 no-less-than 8 NA 5 red black 4 0 5 0 4 0 5 1 -3 FALSE Inferior 0 4384
Ka 25 F N 1 46 exactly 8 NA 9 blue yellow 3 1 4 0 6 1 5 0 1 ? Superior 0 3496
Ka 25 F N 1 47 no-more-than 7 NA 9 blue black 3 1 5 0 6 1 6 0 2 FALSE Superior 0 4495
